iter	RMSE
0	16927540.88
1	16400180.95
2	15941713.58
3	15470032.53
4	15032472.35
5	14617996.81
6	14189147.8
7	13834314.43
8	13463293.62
9	13137025.75
10	12836358.79
11	12533032.43
12	12216733.79
13	11958082.82
14	11744101.22
15	11540346.96
16	11330187.65
17	11128024.67
18	10957706.69
19	10785529.08
20	10646127.06
21	10491360.17
22	10354980
23	10238402.41
24	10109144.27
25	10001177.2
26	9887551.298
27	9812555.141
28	9739552.873
29	9635008.809
30	9569150.206
31	9501291.139
32	9401733.984
33	9349177.467
34	9297218.538
35	9252472.179
36	9212788.393
37	9135993.206
38	9072925.965
39	9040649.447
40	8917531.149
41	8846645.807
42	8746125.091
43	8706808.247
44	8647978.775
45	8608274.606
46	8551598.688
47	8535169.257
48	8450197.548
49	8393411.445
50	8340189.769
51	8299884.137
52	8250701.631
53	8223954.413
54	8173723.541
55	8146663.835
56	8107987.816
57	8072547.793
58	8055427.647
59	8036390.112
60	8006789.552
61	7976197.39
62	7955308.877
63	7938471.539
64	7859818.701
65	7765163.89
66	7752157.3
67	7681324.349
68	7669448.941
69	7658928.174
70	7598129.588
71	7525852.703
72	7470893.682
73	7440335.066
74	7430524.482
75	7367046.658
76	7331387.683
77	7318948.154
78	7308043.205
79	7302441.307
80	7269751.636
81	7269625.476
82	7247897.398
83	7240324.994
84	7195506.575
85	7195407.454
86	7195198.277
87	7184961.286
88	7184960.104
89	7139085.185
90	7138841.487
91	7138635.485
92	7128908.174
93	7128822.342
94	7128422.214
95	7106806.557
96	7106764.845
97	7096085.985
98	7096042.396
99	7094530.606
100	7055787.095
101	7042730.225
102	7042559.22
103	7042285.377
104	7042230.835
105	7032554.646
106	7011070.658
107	7011023.772
108	7010910.492
109	7010683.643
110	7003080.146
111	6998257.478
112	6988822.47
113	6981333.049
114	6973563.823
115	6953154.937
116	6939120.798
117	6927893.053
118	6927872.049
119	6927691.608
120	6912925.984
121	6898836.207
122	6889327.644
123	6874945.733
124	6864222.819
125	6860906.47
126	6854283.429
127	6848689.941
128	6830419.426
129	6817903.305
130	6810511.199
131	6810250.269
132	6798320.605
133	6786183.252
134	6775326.373
135	6775311.115
136	6775279.962
137	6763476.64
138	6759515.02
139	6756393.303
140	6755643.26
141	6744210.696
142	6742563.234
143	6742546.2
144	6742536.736
145	6734046.676
146	6727109.3
147	6723837.724
148	6715262.517
149	6701757.296
150	6692053.192
151	6687272.331
152	6682560.168
153	6670718.364
154	6661675.255
155	6661660.473
156	6660681.763
157	6650342.567
158	6640772.297
159	6625355.595
160	6616001.411
161	6610963.282
162	6610944.254
163	6604569.56
164	6598798.675
165	6598678.843
166	6598665.801
167	6592148.015
168	6592065.41
169	6582096.446
170	6582085.579
171	6577957.496
172	6572340.783
173	6543732.179
174	6541296.668
175	6532535.717
176	6532510.926
177	6532432.406
178	6527385.604
179	6520429.78
180	6520195.707
181	6509619.071
182	6508450.331
183	6504507.739
184	6488153.638
185	6488097.699
186	6488054.965
187	6484295.36
188	6480456.838
189	6480448.226
190	6480440.082
191	6476513.897
192	6464156.34
193	6464126.313
194	6460468.042
195	6455778.737
196	6451965.659
197	6445853.873
198	6434943.118
199	6434927.22
200	6424415.177
201	6424407.105
202	6408068.2
203	6399055.893
204	6388305.575
205	6374075.988
206	6374064.452
207	6370861.837
208	6363581.204
209	6363557.968
210	6363543.441
211	6363537.655
212	6362409.042
213	6362403.643
214	6348875.124
215	6347005.594
216	6343438.499
217	6343406.342
218	6335272.139
219	6330976.76
220	6327990.349
221	6326808.155
222	6324507.613
223	6324370.096
224	6324036.03
225	6320415.919
226	6311455.029
227	6311367.456
228	6310040.39
229	6299107.915
230	6298575.395
231	6284825.245
232	6283859.251
233	6280889.641
234	6278327.144
235	6269765.982
236	6269749.226
237	6267220.909
238	6252712.193
239	6252662.621
240	6252655.055
241	6248887.863
242	6246795.038
243	6246784.227
244	6240645.93
245	6234466.071
246	6231453.652
247	6231336.104
248	6231305.37
249	6229628.18
250	6223345.61
251	6219862.321
252	6212843.477
253	6210388.665
254	6207685.02
255	6204455.477
256	6201357.877
257	6195723.432
258	6187802.771
259	6181224.407
260	6178251.246
261	6177157.878
262	6175859.468
263	6175787.034
264	6166330.709
265	6166320.663
266	6161111.362
267	6161090.974
268	6161082.313
269	6157316.626
270	6155099.981
271	6148365.689
272	6133972.81
273	6133943.577
274	6127818.33
275	6125314.342
276	6121744.899
277	6116755.306
278	6111236.781
279	6088602.385
280	6082866.949
281	6077147.285
282	6077140.818
283	6072805.928
284	6070811.114
285	6068614.748
286	6068608.494
287	6064055.679
288	6058921.662
289	6057088.64
290	6054987.833
291	6053239.274
292	6041267.916
293	6037659.353
294	6026736.174
295	6025515.677
296	6007181.371
297	6005329.426
298	6005320.303
299	6002823.113
300	6001753.241
301	5993183.957
302	5992349.532
303	5992336.434
304	5992294.813
305	5986534.842
306	5982302.434
307	5974422.639
308	5969513.943
309	5967920.347
310	5960214.517
311	5960204.209
312	5957346.438
313	5957335.455
314	5957326.304
315	5957319.283
316	5949550.315
317	5949545.104
318	5949540.399
