iter	Passed	Remaining
0	207	103555
1	268	66871
2	297	49275
3	337	41837
4	373	36948
5	413	34044
6	445	31390
7	491	30209
8	535	29215
9	565	27693
10	611	27181
11	650	26468
12	683	25618
13	739	25659
14	783	25333
15	827	25042
16	863	24528
17	918	24591
18	978	24783
19	1019	24457
20	1058	24138
21	1096	23834
22	1127	23387
23	1164	23089
24	1193	22677
25	1233	22496
26	1263	22135
27	1316	22184
28	1352	21969
29	1406	22030
30	1434	21709
31	1464	21419
32	1510	21379
33	1554	21312
34	1602	21283
35	1652	21301
36	1687	21121
37	1732	21066
38	1792	21188
39	1836	21123
40	1884	21092
41	1922	20960
42	1951	20744
43	1981	20537
44	2015	20374
45	2052	20255
46	2094	20189
47	2129	20049
48	2158	19867
49	2188	19692
50	2218	19530
51	2269	19549
52	2310	19484
53	2341	19339
54	2381	19264
55	2424	19226
56	2457	19099
57	2507	19110
58	2537	18965
59	2588	18980
60	2617	18835
61	2656	18768
62	2691	18667
63	2728	18587
64	2762	18484
65	2799	18409
66	2834	18321
67	2875	18267
68	2914	18207
69	2955	18153
70	2988	18059
71	3024	17981
72	3060	17903
73	3122	17974
74	3165	17938
75	3202	17865
76	3246	17836
77	3281	17752
78	3331	17753
79	3387	17783
80	3421	17698
81	3460	17639
82	3513	17653
83	3558	17624
84	3622	17688
85	3651	17577
86	3695	17540
87	3730	17467
88	3754	17339
89	3791	17271
90	3818	17163
91	3841	17036
92	3894	17044
93	3926	16961
94	3955	16864
95	4005	16858
96	4024	16721
97	4067	16683
98	4101	16611
99	4151	16606
100	4197	16583
101	4226	16493
102	4257	16408
103	4288	16327
104	4329	16286
105	4359	16204
106	4402	16169
107	4432	16087
108	4462	16006
109	4490	15919
110	4549	15945
111	4617	15994
112	4689	16059
113	4787	16210
114	4878	16331
115	4967	16443
116	5075	16615
117	5170	16738
118	5232	16753
119	5289	16751
120	5380	16852
121	5463	16927
122	5540	16981
123	5619	17040
124	5730	17190
125	5851	17367
126	5937	17439
127	6052	17590
128	6131	17634
129	6195	17632
130	6268	17656
131	6341	17679
132	6433	17753
133	6501	17758
134	6570	17765
135	6619	17716
136	6668	17669
137	6768	17753
138	6886	17886
139	6977	17943
140	7079	18025
141	7193	18136
142	7317	18268
143	7388	18265
144	7443	18223
145	7583	18386
146	7678	18439
147	7765	18469
148	7855	18504
149	7918	18476
150	7997	18484
151	8072	18480
152	8135	18451
153	8213	18453
154	8287	18447
155	8328	18364
156	8395	18341
157	8486	18369
158	8578	18396
159	8643	18367
160	8747	18418
161	8843	18451
162	8903	18408
163	9012	18464
164	9154	18586
165	9236	18583
166	9286	18517
167	9414	18603
168	9469	18546
169	9546	18531
170	9584	18440
171	9673	18447
172	9778	18482
173	9892	18534
174	9973	18522
175	10068	18534
176	10150	18523
177	10221	18490
178	10302	18475
179	10435	18552
180	10534	18567
181	10607	18534
182	10673	18488
183	10756	18472
184	10850	18475
185	10901	18403
186	10948	18325
187	11055	18347
188	11126	18308
189	11168	18223
190	11214	18142
191	11330	18176
192	11413	18155
193	11481	18110
194	11582	18115
195	11640	18054
196	11718	18023
197	11812	18016
198	11899	17999
199	11962	17943
200	12061	17942
201	12097	17847
202	12225	17887
203	12319	17874
204	12385	17823
205	12459	17781
206	12522	17725
207	12620	17717
208	12727	17720
209	12779	17647
210	12842	17589
211	12885	17504
212	12997	17512
213	13051	17442
214	13116	17386
215	13220	17382
216	13309	17357
217	13366	17290
218	13439	17244
219	13556	17253
220	13632	17210
221	13750	17219
222	13874	17233
223	13942	17179
224	14017	17132
225	14115	17113
226	14220	17102
227	14293	17051
228	14391	17031
229	14500	17022
230	14562	16958
231	14670	16947
232	14776	16933
233	14877	16912
234	14940	16847
235	15026	16809
236	15083	16738
237	15202	16735
238	15295	16703
239	15375	16657
240	15430	16582
241	15513	16539
242	15623	16524
243	15670	16441
244	15766	16410
245	15885	16402
246	16005	16393
247	16098	16358
248	16174	16304
249	16253	16253
250	16312	16182
251	16375	16115
252	16480	16089
253	16543	16022
254	16616	15965
255	16681	15899
256	16739	15828
257	16802	15760
258	16884	15711
259	16983	15676
260	17052	15615
261	17119	15550
262	17271	15563
263	17348	15508
264	17424	15452
265	17463	15362
266	17572	15334
267	17636	15267
268	17678	15181
269	17771	15139
270	17826	15064
271	17929	15029
272	18033	14994
273	18087	14918
274	18188	14881
275	18253	14814
276	18310	14740
277	18409	14701
278	18484	14641
279	18571	14591
280	18681	14559
281	18749	14493
282	18789	14407
283	18855	14341
284	18924	14276
285	18984	14205
286	19023	14118
287	19099	14059
288	19164	13991
289	19221	13918
290	19281	13848
291	19357	13789
292	19419	13719
293	19478	13648
294	19543	13580
295	19691	13570
296	19769	13512
297	19885	13479
298	19986	13435
299	20149	13432
300	20236	13379
301	20340	13335
302	20465	13306
303	20548	13248
304	20611	13178
305	20711	13130
306	20815	13085
307	20928	13046
308	21006	12984
309	21110	12938
310	21218	12894
311	21285	12825
312	21374	12770
313	21443	12702
314	21528	12643
315	21580	12565
316	21674	12512
317	21707	12423
318	21758	12345
319	21856	12294
320	21924	12225
321	22015	12170
322	22147	12136
323	22217	12068
324	22300	12008
325	22459	11987
326	22524	11916
327	22587	11844
328	22656	11775
329	22774	11732
330	22864	11674
331	22918	11597
332	23003	11536
333	23091	11476
334	23176	11415
335	23231	11339
336	23293	11266
337	23374	11203
338	23432	11128
339	23524	11070
340	23581	10995
341	23647	10924
342	23715	10855
343	23775	10782
344	23838	10709
345	23929	10650
346	23987	10576
347	24048	10503
348	24157	10451
349	24261	10397
350	24327	10326
351	24381	10251
352	24438	10177
353	24543	10122
354	24631	10060
355	24745	10009
356	24803	9935
357	24853	9858
358	24914	9785
359	24983	9715
360	25113	9669
361	25259	9629
362	25342	9564
363	25409	9493
364	25483	9425
365	25541	9351
366	25653	9296
367	25718	9225
368	25808	9162
369	25869	9089
370	25928	9015
371	25987	8942
372	26053	8870
373	26108	8795
374	26163	8721
375	26203	8641
376	26262	8568
377	26311	8492
378	26372	8419
379	26425	8344
380	26497	8276
381	26573	8208
382	26643	8139
383	26750	8080
384	26849	8019
385	26910	7947
386	27013	7887
387	27096	7821
388	27170	7753
389	27235	7681
390	27301	7610
391	27364	7539
392	27463	7477
393	27593	7423
394	27694	7361
395	27794	7299
396	27912	7241
397	28018	7180
398	28108	7115
399	28185	7046
